epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,228.176,1.24316,3.15787,1.47926,0.40515,0.38295,0.34862,0.20101,1.4573,3.52514,1.60568,0.000475638,0.000475638,0.000475638
2,449.076,1.2728,1.69808,1.44435,0.73685,0.69158,0.75931,0.46379,1.29873,1.40513,1.44314,0.000857726,0.000857726,0.000857726
3,666.854,1.2143,1.39167,1.41211,0.78267,0.67465,0.7853,0.54007,1.15882,1.1848,1.31343,0.0011455,0.0011455,0.0011455
4,885.576,1.15623,1.16939,1.35928,0.82352,0.77077,0.85358,0.58875,1.0732,0.98877,1.24712,0.00100459,0.00100459,0.00100459
5,1110.43,1.03807,0.95458,1.26172,0.86462,0.85357,0.90307,0.64448,1.01825,0.84208,1.20162,0.000863116,0.000863116,0.000863116
6,1335.23,0.9705,0.81249,1.20943,0.89834,0.86634,0.91198,0.68425,0.98502,0.75871,1.15782,0.000721645,0.000721645,0.000721645
7,1561,0.91055,0.70541,1.17222,0.90285,0.89672,0.91826,0.69866,0.93293,0.68004,1.13431,0.000580174,0.000580174,0.000580174
8,1780.91,0.843,0.62407,1.12868,0.9273,0.90457,0.93679,0.72267,0.90895,0.61993,1.10893,0.000438703,0.000438703,0.000438703
9,1998.83,0.78384,0.55658,1.09307,0.93263,0.9039,0.94747,0.73932,0.87035,0.59059,1.09864,0.000297232,0.000297232,0.000297232
10,2215.58,0.72524,0.48131,1.05218,0.94836,0.92327,0.95033,0.75113,0.86257,0.56774,1.07473,0.000155761,0.000155761,0.000155761
